player_name,team_tag,season_uvi,ppp,total_pitches,games
Chris Devenski,NYM,225.5,0.010734851145038166,262,13
Hunter Dobbins,BOS,99.3,-0.01832171901709402,936,13
Randy Dobnak,MIN,246.2,0.014137341772151897,79,1
Dylan Dodd,ATL,111.1,-0.014695046641791045,536,28
Chase Dollander,COL,47.1,-0.029300443194600675,1778,21
Seranthony Domínguez,BAL,154.4,-0.0035713662162162175,740,43
Seranthony Domínguez,TOR,200.7,0.004501899728997289,369,24
Camilo Doval,NYY,90.0,-0.019478358166189112,349,22
Camilo Doval,SF,151.1,-0.004302329842931938,764,47
Jack Dreyer,LAD,189.1,0.002055329555361813,1147,66
Shawn Dubin,BAL,178.7,0.0018476618705035976,139,7
Shawn Dubin,HOU,34.9,-0.03065879854368932,412,23
Dane Dunning,ATL,113.3,-0.014221767955801105,181,7
Dane Dunning,TEX,168.0,-0.003785384615384616,195,5
Carlos Duran,ATH,19.5,-0.033768518518518524,27,1
Ezequiel Duran,TEX,429.0,0.049348,25,4
Jhoan Duran,MIN,206.6,0.005764976863753213,778,49
Jhoan Duran,PHI,1.2,-0.03774263311688312,308,23
Alexis Díaz,ATL,176.7,-0.0009305223880597025,67,3
Alexis Díaz,CIN,-78.9,-0.05373632061068702,131,6
Alexis Díaz,LAD,98.1,-0.017208262195121952,164,9
Edwin Díaz,NYM,211.1,0.007636166822867854,1067,62
Jhonathan Díaz,SEA,244.0,0.01878846153846154,26,1
Yilber Díaz,AZ,113.0,-0.014060000000000005,60,1
Connelly Early,BOS,222.0,0.0059518761609907095,323,4
Nate Eaton,BOS,99.4,-0.01831071428571429,14,1
Jake Eder,LAA,113.2,-0.013261496710526314,304,8
Carl Edwards Jr.,LAA,119.8,-0.01182872340425532,47,2
Carl Edwards Jr.,TEX,292.2,0.021498837209302325,43,2
Scott Effross,NYY,131.2,-0.01101284076433121,157,11
Zach Eflin,BAL,12.8,-0.03513060425909494,1127,14
Brandon Eisert,CWS,39.6,-0.029339324455205814,1239,72
Bryce Elder,ATL,76.2,-0.021996445414847163,2519,28
Fraser Ellard,CWS,134.5,-0.00863039090909091,330,18
Mason Englert,TB,189.1,0.0037297172413793107,725,29
Dietrich Enns,BAL,110.0,-0.013473856832971802,461,17
Dietrich Enns,DET,99.6,-0.01667505743243243,296,7
Nic Enright,CLE,117.5,-0.012860353383458648,532,27
Nathan Eovaldi,TEX,199.1,0.0025520582120582115,1924,22
Lucas Erceg,KC,119.7,-0.01211669262295082,976,61
Jose Espada,BAL,336.9,0.0371,30,1
Joey Estes,ATH,10.8,-0.035638016129032266,186,3
Jeremiah Estrada,SD,89.1,-0.01833052491961415,1244,77
Lazaro Estrada,TOR,43.5,-0.028777882352941177,119,2
Carlos Estévez,KC,92.4,-0.01802414567669173,1064,67
Logan Evans,SEA,47.8,-0.026855238839285714,1344,16
Pete Fairbanks,TB,45.2,-0.028007890577507594,987,61
Bailey Falter,KC,-39.6,-0.04652239130434783,253,4
Bailey Falter,PIT,104.4,-0.014454522071806948,1699,22
Kyle Farmer,COL,-255.4,-0.0849857142857143,7,1
Mitch Farris,LAA,14.6,-0.034789320987654325,405,5
Calvin Faucher,MIA,75.2,-0.020852831279620853,1055,65
Erick Fedde,ATL,6.8,-0.03654571460176991,452,5
Erick Fedde,MIL,-60.5,-0.05053268,250,7
Erick Fedde,STL,91.6,-0.018591509569377992,1672,20
Ryan Feltner,COL,90.0,-0.021404671128107077,523,6
Caleb Ferguson,PIT,159.0,-0.002177739002932553,682,45
Caleb Ferguson,SEA,112.4,-0.011839236559139784,372,25
Tyler Ferguson,ATH,138.3,-0.008092329659318638,998,56
José Fermin,LAA,62.1,-0.02443467633587786,655,40
Ryan Fernandez,STL,13.0,-0.03521713157894737,532,32
Julian Fernández,LAD,157.6,-0.004605555555555554,36,1
Julian Fernández,WSH,195.3,0.0037914999999999984,40,3
Jose A. Ferrer,WSH,54.1,-0.02641095967078189,1215,72
David Festa,MIN,85.1,-0.019967367346938773,882,11
Matt Festa,CLE,117.5,-0.012855471445929526,823,63
J.P. Feyereisen,AZ,-255.6,-0.09209855319148938,47,2
J.P. Feyereisen,LAD,-214.7,-0.0834221052631579,38,2
Kyle Finnegan,DET,227.2,0.010614698412698414,252,16
Kyle Finnegan,WSH,9.6,-0.03592250580431177,603,40
Braydon Fisher,TOR,159.7,-0.004158779499404053,839,52
Richard Fitts,BOS,57.2,-0.02666392244897959,735,11
Ryan Fitzgerald,MIN,231.0,0.010916666666666667,24,2
Jack Flaherty,DET,72.5,-0.02246524409171076,2835,31
Chris Flexen,CHC,181.0,-0.0007766983655274894,673,21
Mason Fluharty,TOR,182.6,0.0006759440000000012,875,55
J.P. France,HOU,242.9,0.012931315789473683,76,2
Bowden Francis,TOR,22.4,-0.03323990901137358,1143,14
Kyle Freeland,COL,75.7,-0.02404377108433735,2490,31
Caleb Freeman,CWS,6.8,-0.036499385714285716,70,5
Max Fried,NYY,155.7,-0.005975501607717042,3110,32
Didier Fuentes,ATL,-36.0,-0.045517344709897614,293,4
Carson Fulmer,LAA,174.1,2.188311688311693e-05,462,13
Michael Fulmer,BOS,98.0,-0.01858095238095238,63,1
Michael Fulmer,CHC,300.6,0.023805555555555562,27,2
Kody Funderburk,MIN,155.0,-0.005167032876712329,730,39
Hunter Gaddis,CLE,93.9,-0.017896175471698115,1060,73
Matt Gage,DET,223.1,0.009725301204819277,83,6
Matt Gage,SF,95.6,-0.01666487858719647,453,27
Zac Gallen,AZ,52.8,-0.026794132610774627,3137,33
Gerson Garabito,TEX,76.9,-0.022320611570247936,121,3
Brandyn Garcia,AZ,165.6,-0.0029139911504424774,226,12
Brandyn Garcia,SEA,43.6,-0.02783529411764706,51,2
Luis Garcia,HOU,105.8,-0.01579772641509435,106,2
Rico Garcia,BAL,77.5,-0.020696606060606065,330,20
Rico Garcia,NYM,229.5,0.011610922330097088,206,8
Rico Garcia,NYY,160.6,-0.00497377358490566,53,1
Robert Garcia,TEX,55.3,-0.026717170234454635,981,71
Luis García,LAA,183.7,0.0021140519031141863,289,20
Luis García,LAD,121.1,-0.01233766194331984,494,27
Luis García,WSH,252.8,0.01608503773584906,106,10
Yimi García,TOR,111.5,-0.014371777472527473,364,22
Reed Garrett,NYM,90.5,-0.01841827659574468,987,58
Justin Garza,NYM,180.3,0.00098139534883721,86,5
Robert Gasser,MIL,10.5,-0.03580684313725491,102,2
Kevin Gausman,TOR,118.1,-0.012967866030283081,3038,32
Joey Gerber,TB,-52.9,-0.04964021875,64,2
Paul Gervase,LAD,187.3,0.0016671875000000024,32,1
Paul Gervase,TB,116.5,-0.012284923076923075,104,5
Ian Gibaut,CIN,61.2,-0.025764092783505152,388,25
Cade Gibson,MIA,144.4,-0.005106925845147223,917,44
Kyle Gibson,BAL,-85.4,-0.05700099285714286,280,4
