player_name,team_tag,batting_uvi,speed_bonus,hustle_bonus,defense_bonus,burst_bonus,complete_uvi,sprint_speed,bolts,oaa,frp,ppp,total_pitches,games,batted_balls
Brett Baty,NYM,114.8,-0.6,-0.0,1.5,-0.1,115.6,27.0,0.0,1.0,1.0,0.01661685031303358,1757,126,284
Cody Freeman,TEX,77.6,0.4,-0.0,-1.5,-0.1,76.4,27.5,0.0,-1.0,-1.0,0.008506658102766795,506,35,96
Owen Caissie,CHC,69.4,1.2,0.0,1.5,0.0,72.1,27.9,0.0,1.0,1.0,0.006167640776699031,103,12,15
Andrew Vaughn,CWS,59.7,-2.6,-0.1,3.0,0.4,60.4,26.0,0.0,2.0,2.0,0.002709645586297763,759,48,143
Andrew Vaughn,MIL,133.6,-2.6,0.1,3.0,0.4,134.5,26.0,0.0,2.0,2.0,0.02269576427829699,963,64,190
Michael Busch,CHC,155.9,-1.6,-0.0,-1.5,-0.0,152.8,26.5,0.0,-1.0,-1.0,0.028872621680452768,2297,152,381
Victor Mesa,MIA,5.1,-0.8,-0.0,1.5,0.0,5.8,26.9,0.0,1.0,1.0,-0.010857560283687942,141,13,28
Christian Koss,SF,120.9,3.6,-0.0,-1.5,-0.2,122.8,29.1,4.0,-1.0,-1.0,0.017235555900621122,644,60,130
Will Robertson,CWS,-4.5,1.2,-0.2,0.0,0.0,-3.5,27.9,0.0,0.0,0.0,-0.013170090090090089,222,22,40
Will Robertson,TOR,-34.1,1.2,2.7,0.0,0.0,-30.2,27.9,0.0,0.0,0.0,-0.020763636363636363,44,3,3
Matt Gorski,PIT,170.7,2.8,0.0,-1.5,0.0,172.0,28.7,0.0,-2.0,-1.0,0.028854011049723752,181,14,25
Kenedy Corona,HOU,90.8,0.0,0.0,0.0,0.0,90.8,,0.0,0.0,0.0,0.011330952380952383,21,2,1
Sal Frelick,MIL,111.0,3.2,0.0,9.0,-0.6,122.6,28.9,38.0,7.0,6.0,0.016806573777585463,2311,141,456
Drew Millas,WSH,134.5,0.2,-0.0,0.0,-0.1,134.6,27.4,0.0,0.0,0.0,0.021892588516746414,209,16,43
Vinnie Pasquantino,KC,185.6,-3.6,0.0,-7.5,0.4,174.9,25.5,0.0,-7.0,-5.0,0.03432606414219475,2588,160,515
Tyler Tolbert,KC,49.5,3.2,0.0,0.0,-0.4,52.3,28.9,1.0,-1.0,0.0,0.0003188359788359786,189,36,41
Dominic Canzone,SEA,177.4,-1.6,-0.0,-3.0,0.0,172.8,26.5,0.0,-2.0,-2.0,0.029098035992217903,1028,82,186
Oliver Dunn,MIL,-6.9,1.0,0.0,-1.5,0.0,-7.4,27.8,0.0,-1.0,-1.0,-0.013851701298701299,154,13,28
